data_context,customer_id,signup_date,acquisition_channel,state,loyalty_tier,top_purchase_category,orders,net_revenue,return_adjusted_profit,discount_amount,returns,recency_days,repeat_purchase_flag,return_rate,discount_dependency,profit_margin,churn_label,historical_clv,segment_name,business_recommendation,rfm_segment,rfm_total_score,churn_probability,churn_risk_tier,expected_profit_at_risk,predicted_next_90d_profit,predicted_12m_clv,clv_band,acquisition_cohort,expected_clv_at_risk
Synthetic portfolio data,C00000001,2025-02-12,Organic Search,NY,Gold,Pet,8.0,241.18,113.5575,42.64524957577393,3.0,73.0,1,0.375,0.1502517821776415,0.4708412803715067,0,113.5575,Discount-driven Buyers,"Manage promo dependency. Shift from blanket discounts to threshold offers, bundles, and margin-safe loyalty incentives.",Champions,14,0.0236327934344501,Low,2.683680940432574,30.187899653148477,234.3090986125939,Mid,2025-02,0.0
Synthetic portfolio data,C00000002,2025-02-02,Paid Search,TX,Base,Outdoor,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0,0.0,0.0,1,0.0,One-time Buyers,"Improve first-to-second purchase. Personalize follow-up around first category, reduce post-purchase friction, and test low-cost reactivation.",Lost Customers,3,0.9999999999996938,Critical,0.0,0.4336465738589143,1.7345862954356572,Low,2025-02,1.7345862954356572
Synthetic portfolio data,C00000003,2023-10-04,Organic Search,MA,Base,Apparel,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0,0.0,0.0,1,0.0,One-time Buyers,"Improve first-to-second purchase. Personalize follow-up around first category, reduce post-purchase friction, and test low-cost reactivation.",Lost Customers,3,0.99999999999968,Critical,0.0,2.4006117111719827,9.60244684468793,Low,2023-10,9.60244684468793
Synthetic portfolio data,C00000004,2023-02-26,Affiliate,OH,Gold,Apparel,4.0,199.23,67.31,5.224198807590113,0.0,199.0,1,0.0,0.0255519272191937,0.3378507252923756,1,67.31,Discount-driven Buyers,"Manage promo dependency. Shift from blanket discounts to threshold offers, bundles, and margin-safe loyalty incentives.",Champions,12,0.8816214618163342,Critical,59.341940594857455,4.412587343559148,84.96034937423659,Low,2023-02,84.96034937423659
Synthetic portfolio data,C00000005,2023-12-29,Paid Social,CA,Gold,Home,25.0,3007.66,1149.9845,521.5632376367344,5.0,46.0,1,0.2,0.1477841447020471,0.3823518948285378,0,1149.9845,High Value Loyal Customers 2,"Protect margin and loyalty. Prioritize early product access, premium service recovery, and retention-triggered offers that avoid unnecessary discounting.",Champions,15,0.005546055432889,Low,6.377877783963142,227.06588047687376,2058.248021907495,Elite,2023-12,0.0
Synthetic portfolio data,C00000006,2023-08-03,Paid Search,FL,Bronze,Electronics,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0,0.0,0.0,1,0.0,One-time Buyers,"Improve first-to-second purchase. Personalize follow-up around first category, reduce post-purchase friction, and test low-cost reactivation.",Lost Customers,3,0.999999999999631,Critical,0.0,0.7527662328762333,3.011064931504934,Low,2023-08,3.011064931504934
Synthetic portfolio data,C00000007,2024-04-19,Organic Search,NY,Base,Grocery,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0,0.0,0.0,1,0.0,One-time Buyers,"Improve first-to-second purchase. Personalize follow-up around first category, reduce post-purchase friction, and test low-cost reactivation.",Lost Customers,3,0.9999999999996698,Critical,0.0,0.6126407333622692,2.450562933449077,Low,2024-04,2.450562933449077
Synthetic portfolio data,C00000008,2025-10-12,Direct,NY,Base,Home,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0,0.0,0.0,1,0.0,One-time Buyers,"Improve first-to-second purchase. Personalize follow-up around first category, reduce post-purchase friction, and test low-cost reactivation.",Lost Customers,3,0.9999999999996818,Critical,0.0,0.5097559752692339,2.0390239010769355,Low,2025-10,2.0390239010769355
Synthetic portfolio data,C00000009,2023-09-05,Paid Social,CA,Base,Pet,0.0,0.0,0.0,0.0,0.0,999.0,0,0.0,0.0,0.0,1,0.0,One-time Buyers,"Improve first-to-second purchase. Personalize follow-up around first category, reduce post-purchase friction, and test low-cost reactivation.",Lost Customers,3,0.9999999999996636,Critical,0.0,0.5542466881539905,2.216986752615962,Low,2023-09,2.216986752615962
Synthetic portfolio data,C00000010,2024-01-14,Paid Social,TX,Silver,Home,3.0,285.59000000000003,103.686,31.294048247664517,1.0,45.0,1,0.3333333333333333,0.0987555177381673,0.3630589306348261,1,103.686,Discount-driven Buyers,"Manage promo dependency. Shift from blanket discounts to threshold offers, bundles, and margin-safe loyalty incentives.",Champions,13,0.0454306464854142,Low,4.71052201148666,36.52119547606167,249.7707819042467,Mid,2024-01,249.7707819042467
Synthetic portfolio data,C00000011,2025-02-16,Paid Search,TX,Silver,Electronics,6.0,498.03,157.08550000000002,78.62671984788639,1.0,149.0,1,0.1666666666666666,0.1363492648947661,0.3154137300965806,1,157.08550000000002,Discount-driven Buyers,"Manage promo dependency. Shift from blanket discounts to threshold offers, bundles, and margin-safe loyalty incentives.",Champions,13,0.6326221580526887,High,99.37576800878566,6.445386700637455,182.86704680254985,Mid,2025-02,182.86704680254985
Synthetic portfolio data,C00000012,2024-08-13,Organic Search,FL,Bronze,Electronics,5.0,383.81,73.8495,45.68249701508121,2.0,64.0,1,0.4,0.1063639000275181,0.1924116099111539,0,73.8495,Discount-driven Buyers,"Manage promo dependency. Shift from blanket discounts to threshold offers, bundles, and margin-safe loyalty incentives.",Champions,13,0.0322646172289828,Low,2.382725850051767,42.61127621952668,244.29460487810672,Mid,2024-08,0.0
Synthetic portfolio data,C00000013,2023-03-09,Affiliate,OH,Gold,Electronics,10.0,977.71,259.49,48.484754943387216,0.0,42.0,1,0.0,0.0472471280035552,0.2654058974542553,0,259.49,Discount-driven Buyers,"Manage promo dependency. Shift from blanket discounts to threshold offers, bundles, and margin-safe loyalty incentives.",Champions,15,0.0204758489258826,Low,5.3132780377772955,22.575034096806892,349.79013638722756,Mid,2023-03,0.0
